Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Cientista de Dados,1,Introdução a Análise de Dados,1. O que são Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,2. O que são Dados - Parte 2,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,3. Conceitos Importantes em Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,4. Conceitos Importantes em Dados Parte 02,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,5. Ferramentas que Utilizamos,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,6. Material complementar - Rotina de trabalho,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,7. Rotina de Trabalho na Área de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,8. Rotina de um Analista de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,9. Rotina de um Engenheiro de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,10. Rotina de um Cientista de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,11. Diferenças entre as Rotinas,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,12. Encerramento do módulo,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,13. Resolvendo problemas de negócio,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,14. Ambientação,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,15. Fazendo as primeiras análises,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,16. Fazendo as primeiras análises (v2),N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,17. Buscando Informações de Outras Tabelas,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,18. Buscando informações de outras tabelas (v2),N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,19. Análise Exploratória,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,20. Análise Gráfica Simples,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,21. Análises Dinâmicas,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,22. Filtragem Combinada,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,23. Montando um Dashboard,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,24. Imprimindo um Dashboard,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,25. Instalando o Power BI,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,26. Conhecendo o Power BI,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,27. Conhecendo o Excel - Base de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,28. Definindo Problema de Negócio,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,29. Introdução a Análise de Dados - Datasets,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,30. Puxando e Tratando Dados csv,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,31. Conectando Bases de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,32. Direções dos Filtros,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,33. Previsão de Faturamento,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,34. Mapa de Clientes,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,35. Análises de Melhores e Piores,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,36. Pesquisa de Satisfação,N/D,N/D,N/D,Concluído
Cientista de Dados,1,Introdução a Análise de Dados,37. Projeto: Preveja os resultados de um e-commerce,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,1. Configurações Básicas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,2. EX 02 - Configurações Básicas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,3. Familiarizando-se com Excel,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,4. EX 03 - Familizarizando-se com Excel,N/D,N/D,N/D,Concluído
