Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Inglês Online,1,O básico para a comunicação,Introdução e Names,00h:43m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Introductions,00h:31m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Greetings I,00h:25m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Greetings II,00h:29m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Occupations I,00h:30m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Occupations II,00h:30m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Countries and Nationalities I,00h:29m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Countries and Nationalities II,00h:31m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Alphabet,00h:31m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Numbers,00h:29m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Telling the time,00h:25m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,To Be: Simple Present,00h:26m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,Simple Present,00h:29m,N/D,N/D,Em andamento
Inglês Online,1,O básico para a comunicação,[Questões] Simple Present,00h:10m,N/D,N/D,Em andamento
Inglês Online,2,Adjetivos e pronomes,Possessive Adjectives,00h:26m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Possessive Adjectives,00h:10m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Numbers and Addresses,00h:28m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Modal Verbs,00h:32m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Modal Verbs,00h:10m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Interrogative Pronouns,00h:34m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Places in Town I,00h:50m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Places in Town II,00h:22m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,Places In Town III,00h:29m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,To Be: Past,00h:24m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Praticando Inglês 2,00h:10m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Praticando Inglês 3,00h:10m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Praticando Inglês 4,00h:10m,N/D,N/D,Pendente
Inglês Online,2,Adjetivos e pronomes,[Questões] Praticando Inglês 5,00h:10m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Breakfast Vocabulary,00h:44m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Fruit,00h:31m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Vegetable,00h:43m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Family Members,00h:47m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Lunch,00h:50m,N/D,N/D,Pendente
Inglês Online,3,Um pouco de vocabulário,Occupations,00h:19m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Personal Information: Dialogue,00h:39m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Places in Town: Dialogue I,00h:47m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Places in Town: Dialogue II,00h:24m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Places in Town: Dialogue III,00h:26m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Family Members: Sentences and Qs,00h:39m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Daily Routines: Vocabulary,00h:48m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Dialogue: Family Album,00h:45m,N/D,N/D,Pendente
Inglês Online,4,Vamos dialogar?,Dialogue: Making Arrangements,00h:50m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Restaurant I,00h:40m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Restaurant II,00h:24m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Restaurant III,00h:23m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Clothes I,00h:32m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Clothes II,00h:31m,N/D,N/D,Pendente
Inglês Online,5,Vamos falar sobre comida/roupas,Clothes III,00h:34m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,Prepositions of Places I,00h:34m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,Prepositions of Place II,00h:24m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,School Objects I,00h:34m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,School Objetcs II,00h:37m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,Frequency Adverbs/Expressions,00h:41m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,Places In the house I,00h:30m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,Places In the house II,00h:37m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,In the kitchen I,00h:43m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,In the kitchen II,00h:29m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,In The Kitchen III,00h:44m,N/D,N/D,Pendente
Inglês Online,6,Partes da casa,In the kitchen IV,00h:38m,N/D,N/D,Pendente
Inglês Online,7,Mais conversação,To Have x There to Be,00h:37m,N/D,N/D,Pendente
Inglês Online,7,Mais conversação,How Do You Like This Movie,00h:52m,N/D,N/D,Pendente
Inglês Online,7,Mais conversação,How Does He Look Like I,00h:41m,N/D,N/D,Pendente
Inglês Online,7,Mais conversação,How Does He Look Like II,00h:31m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,Living Room I,00h:29m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,Living Room II,00h:31m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,In The Bathroom I,00h:08m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,In The Bathroom II,00h:31m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,In The Bathroom III,00h:27m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,Bedroom I,00h:29m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,Bedroom II,00h:34m,N/D,N/D,Pendente
Inglês Online,8,Móveis e objetos,Subject/Object Pronouns,00h:29m,N/D,N/D,Pendente
Inglês Online,9,Partes do corpo e mais,Parts of The Body I,00h:30m,N/D,N/D,Pendente
Inglês Online,9,Partes do corpo e mais,Parts of The Body II,00h:32m,N/D,N/D,Pendente
Inglês Online,9,Partes do corpo e mais,Parts of The Body III,00h:36m,N/D,N/D,Pendente
Inglês Online,9,Partes do corpo e mais,Parts of The Body IV,00h:34m,N/D,N/D,Pendente
Inglês Online,9,Partes do corpo e mais,Parts of The Body V,00h:39m,N/D,N/D,Pendente
