Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,Boas-vindas,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,1. Definição e importância da análise de dados na gestão empresarial,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,2. Principais conceitos de análise de dados,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,"3. Técnicas de análise de dados - descritiva, diagnóstica, preditiva e prescritiva",N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,4. Importância da qualidade dos dados e sua influência nas decisões gerenciais,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,5. O que é banco de dados e porque interessa aprender isso?,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,6. Conceitos básicos de inteligência comercial (dados para área de vendas),N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,7. Casos de uso de análise de dados em diferentes setores empresariais,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,8. Exercício sobre extração de dados (web scrapping e API),N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],1,Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial,Avaliação,N/D,N/D,N/D,Aprovado
Análise de Dados e TI Aplicado à Gestão [DTIH],2,"Ferramentas de TI para coleta, organização e análise de dados",1. Introdução às ferramentas de TI essenciais para análise de dados,N/D,N/D,N/D,Aprovado
